Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
24,55,45,61,63
58,44,55,45.5,53
59,57,32,65,58
60.5,62,51,57,61
62.5,52,50,52,63
54,44,57,46,51
60.5,40,54,56,69
48.5,55,53,621,52
61.5,40,44,44,65
70.5,55,45,50.5,52
51.5,42,45,50,61
61.5,45,41,51.5,66
53.5,46,56,61.1,53
47,36,52,53,58
62,67,52,44,64
49.5,48,44,59.5,63
63.5,54,55,49,65
53,46,58,39,51
69,36,54,46,61
57,66,53,46,59
66.5,58,57,49.5,65
53,57,35,51.5,67
59.5,57,56,5.45,62
46.5,46,57,55.5,66
61,64,40,56,57
55.5,55,32,49,58
52,55,43,45.5,57
68,61,46,49,59
61,58,44,42.3,57
54,57,55,59.2,57
43,47,46,45.1,49
69.5,54,44,41.3,54
50,41,44,46.7,58
49.5,46,42,50.1,56
47,36,45,49.1,53
61.5,56,44,50.1,55
47,50,28,49.1,56
52.5,51,7,51.2,51
61,56,15,53.4,47
66.5,17,3,59.5,51
62,23,51,47,57
36,40,,53.2,44
56,56,,44,43
59.5,46,,58.1,54
57.5,53,,23.3,54
48,55,,44.4,48
47,25,,40.3,41
44,39,,55.8,
23.5,48,,49.1,
13,40,,49.3,
,,,21,
,,,12.4,
,,,50,
,,,43,
,,,30.7,
